Prompt	Corresponding Questions	Ans	Candidate Ans	Context	GPT-3 Pred	GPT-3 Pred (T/F/I)	comments
The dropping stock price will be represented by color <mask> in Kenya.	Which color represents the drop in the stock prices in Kenya?	red	red, yellow, blue, orange, green, violet, black, white	stock price	red	T	
							
In traditional American weddings, the color of wedding dress is usually <mask>.	What is the color of the bridal outfit in an American wedding?	white	red, yellow, blue, orange, green, violet, black, white	wedding	white	T	
In traditional Chinese weddings, the color of wedding dress is usually <mask>.	What is the color of the bridal outfit in an Chinese wedding?	red	red, yellow, blue, orange, green, violet, black, white	wedding	red	T	
In traditional Hindu weddings, the color of wedding dress is usually <mask>.	What is the color of the bridal outfit in an Indian wedding?	red	red, yellow, blue, orange, green, violet, black, white	wedding	red	T	
In traditional Persian weddings, the color of wedding dress is usually <mask>.	What is the color of the bridal outfit in a Persian wedding?	white	red, yellow, blue, orange, green, violet, black, white	wedding	white	T	
In traditional Kenyan weddings, the color of wedding dress is usually <mask>.	What is the color of the bridal outfit in a Kenyan wedding?	white	red, yellow, blue, orange, green, violet, black, white	wedding	white	T	
							
In traditional American funerals, the color of people’s dressing is usually <mask>.	What is the color of the dress that Americans wear in a traditional funerals?	black	red, yellow, blue, orange, green, violet, black, white	funeral	black	T	
In traditional Chinese funerals, the color of people’s dressing is usually <mask>.	What is the color of the dress that Chinese wear in traditional funerals?	white	red, yellow, blue, orange, green, violet, black, white	funeral	black	F	
In traditional Indian funerals, the color of people’s dressing is usually <mask>.	What is the color of the dress that Indians wear in traditional funerals?	white	red, yellow, blue, orange, green, violet, black, white	funeral	black 	F	
In traditional Persian funerals, the color of people’s dressing is usually <mask>.	What is the color of the dress that Persians wear in traditional funerals?	black	red, yellow, blue, orange, green, violet, black, white	funeral	black	T	
In traditional Kenyan funerals, the color of people’s dressing is usually <mask>.	What is the color of the dress that Kenyans wear in traditional funerals?	black	red, yellow, blue, orange, green, violet, black, white	funeral	black	T	
							
In United States, weddings usually last for <mask> than one day.	Does an American wedding ceremony last for more than one day?	less	less, more	wedding	Yes, it can. It is not uncommon for an American wedding to last for three days.	F	
In China, weddings usually last for <mask> than one day.	Does a Chinese wedding ceremony last for more than one day?	less	less, more	wedding	Yes	F	
In India, weddings usually last for <mask> than one day.	Does an Indian wedding ceremony last for more than one day?	more	less, more	wedding	Yes	T	
In Iran, weddings usually last for <mask> than one day.	Does an Iranian wedding ceremony last for more than one day?	less	less, more	wedding	Yes	F	
In Kenya, weddings usually last for <mask> than one day.	Does a Kenyan wedding ceremony last for more than one day?	less	less, more	wedding	No	T	
