Prompt	Corresponding Questions	Ans	Candidate Ans	Context	GPT-3 Pred	GPT-3 Pred (T/F/I)
केन्या में वजन मापने की इकाई <mask> है।	केन्या में वजन मापने की इकाई क्या है?	किलोग्राम	अउंस, पाउंड, मिलीग्राम, ग्राम, किलोग्राम	measurement unit	केन्या में वजन मापने की इकाई क्या है?	I
						
अमेरिका में तापमान मापने की इकाई <mask> है।	अमेरिका में तापमान मापने की इकाई क्या है?	फ़ारेनहाइट	फ़ारेनहाइट, सेल्सीयस, रैंकिन	measurement unit	अमेरिका में तापमान मापने की इकाई क्या है?	I
चीन में तापमान मापने की इकाई <mask> है।	चीन में तापमान मापने की इकाई क्या है?	सेल्सीयस	फ़ारेनहाइट, सेल्सीयस, रैंकिन	measurement unit	इस तरह के प्रकार के तापमान मापने के लिए कुछ प्रकार की इकाई हैं:	I
भारत में तापमान मापने की इकाई <mask> है।	भारत में तापमान मापने की इकाई क्या है?	सेल्सीयस	फ़ारेनहाइट, सेल्सीयस, रैंकिन	measurement unit	तापमान मापने की इकाई क्या है?	I
ईरान में तापमान मापने की इकाई <mask> है।	ईरान में तापमान मापने की इकाई क्या है?	सेल्सीयस	फ़ारेनहाइट, सेल्सीयस, रैंकिन	measurement unit	इस तरह के प्रकार के इकाई के लिए कुछ नहीं है।	I
केन्या में तापमान मापने की इकाई <mask> है।	केन्या में तापमान मापने की इकाई क्या है?	सेल्सीयस	फ़ारेनहाइट, सेल्सीयस, रैंकिन	measurement unit	केन्या में तापमान मापने की इकाई का नाम है केन्या के तापमान की मापने क	I
						
महीना अमेरिका में दिनांक प्रारूप में वर्ष के <mask> दिखाई देता है।	क्या माह अमेरिका में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?	पहले	पहले, उपरांत, नीचे, ऊपर	measurement unit	अमेरिका में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता	I
महीना चीन में दिनांक प्रारूप में वर्ष के <mask> दिखाई देता है।	क्या माह चीन में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?	उपरांत	पहले, उपरांत, नीचे, ऊपर	measurement unit	दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?	I
महीना भारत में दिनांक प्रारूप में वर्ष के <mask> दिखाई देता है।	क्या माह भारत में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?	पहले	पहले, उपरांत, नीचे, ऊपर	measurement unit	वर्ष के पहले या बाद में दिखाई देता है?	I
महीना ईरान में दिनांक प्रारूप में वर्ष के <mask> दिखाई देता है।	क्या माह ईरान में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?	पहले	पहले, उपरांत, नीचे, ऊपर	measurement unit	वर्ष के पहले दिनांक प्रारूप में दिखाई देता है	I
महीना केन्या में दिनांक प्रारूप में वर्ष के <mask> दिखाई देता है।	क्या माह केन्या में दिनांक प्रारूप में वर्ष के पहले या बाद में दिखाई देता है?	पहले	पहले, उपरांत, नीचे, ऊपर	measurement unit	माह केन्या में दिनांक प्रारूप में वर्ष के पहले दिखाई देता है।	T
						
वर्ष अमेरिका में दिनांक प्रारूप में  महीना के <mask> दिखाई देता है।	क्या वर्ष अमेरिका में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?	उपरांत	पहले, उपरांत, नीचे, ऊपर	measurement unit	अमेरिका में माह के पहले दिनांक प्रारूप में दिखाई देता है.	I
वर्ष चीन में दिनांक प्रारूप में महीना के <mask> दिखाई देता है।	क्या वर्ष चीन में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?	पहले	पहले, उपरांत, नीचे, ऊपर	measurement unit	चीन में माह के पहले दिनांक प्रारूप में दिखाई देता ह	I
वर्ष भारत में दिनांक प्रारूप में महीना के <mask> दिखाई देता है।	क्या वर्ष भारत में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?	उपरांत	पहले, उपरांत, नीचे, ऊपर	measurement unit	दिनांक प्रारूप में माह के पहले दिखाई देता है.	I
वर्ष ईरान में दिनांक प्रारूप में महीना के <mask> दिखाई देता है।	क्या वर्ष ईरान में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?	उपरांत	पहले, उपरांत, नीचे, ऊपर	measurement unit	ईरान में माह के पहले दिनांक के प्रारूप में दिखाई देता है।	I
वर्ष केन्या में दिनांक प्रारूप में महीना के <mask> दिखाई देता है।	क्या वर्ष केन्या में दिनांक प्रारूप में माह के पहले या बाद में दिखाई देता है?	उपरांत	पहले, उपरांत, नीचे, ऊपर	measurement unit	वर्ष केन्या में दिनांक प्रारूप में माह के पहले दिखाई देता है।	F
						
अमेरिका में यह <mask> बात है कि ग्राहक खाना खाने के बाद बख्शीश देते हैं।	क्या यह दुर्लभ या आम है कि ग्राहक अमेरिका में भोजन के बाद बख्शीश दे?	आम	आम, दुर्लभ	payment	अमेरिका में भोजन के बाद टिप्स देने के लिए कुछ समय लगता है जिसमें	I
चीन में यह <mask> बात है कि ग्राहक खाना खाने के बाद बख्शीश देते हैं।	क्या यह दुर्लभ या आम है कि ग्राहक चीन में भोजन के बाद बख्शीश दे?	दुर्लभ	आम, दुर्लभ	payment	हालांकि चीन में भोजन के बाद टिप्स देने की संभावना है, लेकिन इसके लिए कोई संकेत नहीं है कि क्या यह दुर्लभ या आम है कि ग्राहक चीन में भ	I
भारत में यह <mask> बात है कि ग्राहक खाना खाने के बाद बख्शीश देते हैं।	क्या यह दुर्लभ या आम है कि ग्राहक भारत में भोजन के बाद बख्शीश दे?	दुर्लभ	आम, दुर्लभ	payment	अगर आप किसी भी स्थान पर जाने के लिए सभी टिप्स देंगे तो आप अपने प्र	I
ईरान में यह <mask> बात है कि ग्राहक खाना खाने के बाद बख्शीश देते हैं।	क्या यह दुर्लभ या आम है कि ग्राहक ईरान में भोजन के बाद बख्शीश दे?	दुर्लभ	आम, दुर्लभ	payment	क्या आप किसी भी समस्या के लिए समस्या के लिए समस्या के लिए समस्या क	I
केन्या में यह <mask> बात है कि ग्राहक खाना खाने के बाद बख्शीश देते हैं।	क्या यह दुर्लभ या आम है कि ग्राहक केन्या में भोजन के बाद बख्शीश दे?	दुर्लभ	आम, दुर्लभ	payment	यह दुर्लभ है कि ग्राहक केन्या में भोजन के बाद बख्शीश दे.	T
						
अमेरिकी आमतौर पर <mask> को स्नान करते हैं।	अमेरिकी लोग आमतौर पर कब स्नान करते हैं?	सुबह	सुबह, शाम, दोपहर, शाम	shower time	स्नान करने के लिए आमतौर पर कब स्नान करते हैं?	I
चीनी आमतौर पर <mask> को स्नान करते हैं।	चीनी लोग आमतौर पर कब स्नान करते हैं?	शाम	सुबह, शाम, दोपहर, शाम	shower time	स्नान करने के लिए सबसे पहले स्नान करने के लिए सबसे पहले स्नान कर	I
भारतीय आमतौर पर <mask> को स्नान करते हैं।	भारतीय लोग आमतौर पर कब स्नान करते हैं?	सुबह	सुबह, शाम, दोपहर, शाम	shower time	स्नान करने के लिए आमतौर पर कब स्नान करते हैं?	I
ईरानी आमतौर पर <mask> को स्नान करते हैं।	ईरानी लोग आमतौर पर कब स्नान करते हैं?	सुबह	सुबह, शाम, दोपहर, शाम	shower time	स्नान करने के लिए आमतौर पर कब स्नान करते हैं?	I
केन्याी आमतौर पर <mask> को स्नान करते हैं।	केन्याी लोग आमतौर पर कब स्नान करते हैं?	सुबह	सुबह, शाम, दोपहर, शाम	shower time	केन्याी लोग आमतौर पर कब स्नान करते हैं?	I
						
अमेरिकी अपने गीले कपड़े <mask> में सुखाते हैं।	अमेरिकी लोग अपने गीले कपड़े कैसे सुखाते हैं?	मशीनों	मशीनों, धूप	drying clothes	They eat their bread with butter.	I
चीनी अपने गीले कपड़े <mask> में सुखाते हैं।	चीनी लोग अपने गीले कपड़े कैसे सुखाते हैं?	धूप	मशीनों, धूप	drying clothes	उनकी मनोरंजन के लिए कपड़े को सुखान	I
भारतीय अपने गीले कपड़े <mask> में सुखाते हैं।	भारतीय लोग अपने गीले कपड़े कैसे सुखाते हैं?	धूप	मशीनों, धूप	drying clothes	गीले कपड़े को सुखाने के लिए कुछ महत्वपूर्ण तरीके हैं:	I
ईरानी अपने गीले कपड़े <mask> में सुखाते हैं।	ईरानी लोग अपने गीले कपड़े कैसे सुखाते हैं?	धूप	मशीनों, धूप	drying clothes	अपने गीले कपड़े को सुखाने के लिए अपने पैरों की ओर से कपड़े को पक	I
केन्याी अपने गीले कपड़े <mask> में सुखाते हैं।	केन्याी लोग अपने गीले कपड़े कैसे सुखाते हैं?	धूप	मशीनों, धूप	drying clothes	केन्याी लोग अपने गीले कपड़े कैसे सुखाते हैं?	I
						
अमेरिका में लोगों द्वारा सफाई के लिए झाडू का उपयोग करना <mask> बात है।	क्या अमेरिका में फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?	आम	आम, दुर्लभ	broom usage	अमेरिका में झाड़ू का इस्तेमाल करना दुर्लभ है	T
चीन में लोगों द्वारा सफाई के लिए झाडू का उपयोग करना <mask> बात है।	क्या चीन में फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?	आम	आम, दुर्लभ	broom usage	झाड़ू के इस्तेमाल के लिए कई तरह के प्रयोग की समस्याओं के साथ समय	I
भारत में लोगों द्वारा सफाई के लिए झाडू का उपयोग करना <mask> बात है।	क्या भारत में फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?	आम	आम, दुर्लभ	broom usage	अगर आप किसी भी क्षेत्र में झाड़ू का इस्तेमाल करना चाहते हैं तो आप	I
ईरान में लोगों द्वारा सफाई के लिए झाडू का उपयोग करना <mask> बात है।	क्या ईरान में फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?	दुर्लभ	आम, दुर्लभ	broom usage	क्या आप किसी भी क्षेत्र में स्थित एक स्थान पर झाड़ू का इस्तेमाल क	I
केन्या में लोगों द्वारा सफाई के लिए झाडू का उपयोग करना <mask> बात है।	क्या केन्या में फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल करना दुर्लभ या आम है?	आम	आम, दुर्लभ	broom usage	केन्या में फर्श साफ करने के लिए लोगों के लिए झाड़ू का इस्तेमाल कर	T
						
अमेरिका में मुख्य भोजन <mask> है।	अमेरिका में मुख्य भोजन क्या है?	रोटी	रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का	food and drink	मुख्य भोजन क्या है	I
चीन में मुख्य भोजन <mask> है।	चीन में मुख्य भोजन क्या है?	चावल, नूडल्स	रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का	food and drink	मुख्य भोजन क्या है	I
भारत में मुख्य भोजन <mask> है।	भारत में मुख्य भोजन क्या है?	चावल, रोटी	रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का	food and drink	मुख्य भोजन क्या है?	I
ईरान में मुख्य भोजन <mask> है।	ईरान में मुख्य भोजन क्या है?	चावल, रोटी	रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का	food and drink	मुख्य भोजन क्या है?	I
केन्या में मुख्य भोजन <mask> है।	केन्या में मुख्य भोजन क्या है?	सबजी, मक्का	रोटी, चावल, नूडल्स, आलू, मांस, सबजी, फल, मक्का	food and drink	केन्या में मुख्य भोजन का अधिकार केन्या के राजा के होता है।	I
						
अमेरिकी आमतौर पर <mask> से खाना खाते हैं।	अमेरिकी लोग आमतौर पर किन औजारों से खाना खाते हैं?	चाकू, कांटे	चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक	food and drink	 अमेरिका में सबसे ज्यादा खाना खाते हैं किन औजारों से?	I
चीनी आमतौर पर <mask> से खाना खाते हैं।	चीनी लोग आमतौर पर किन औजारों से खाना खाते हैं?	चॉपस्टिक	चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक	food and drink	सबसे पहले किसी को खाना खाने के लिए किसी को प्रशस्त करना चाहिए जो क	I
भारतीय आमतौर पर <mask> से खाना खाते हैं।	भारतीय लोग आमतौर पर किन औजारों से खाना खाते हैं?	चम्मच, हाथ	चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक	food and drink	आमतौर पर किन औजारों से खाना खाते हैं?	I
ईरानी आमतौर पर <mask> से खाना खाते हैं।	ईरानी लोग आमतौर पर किन औजारों से खाना खाते हैं?	चम्मच, कांटे	चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक	food and drink	आमतौर पर किन औजारों से खाना खाते हैं?	I
केन्याी आमतौर पर <mask> से खाना खाते हैं।	केन्याी लोग आमतौर पर किन औजारों से खाना खाते हैं?	चम्मच, कांटे	चाकू, कांटे, चम्मच, हाथ, चॉपस्टिक	food and drink	केन्याी लोग आमतौर पर किन औजारों से खाना खाते हैं?	I
						
अमेरिका में बर्तन आमतौर पर <mask> होते हैं।	क्या अमेरिका में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?	आम	आम, दुर्लभ	food and drink	अमेरिका में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एक	I
चीन में बर्तन आमतौर पर <mask> होते हैं।	क्या चीन में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?	दुर्लभ	आम, दुर्लभ	food and drink	चीन में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक	I
भारत में बर्तन आमतौर पर <mask> होते हैं।	क्या भारत में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?	दुर्लभ	आम, दुर्लभ	food and drink	व्यंजन के लिए परोसे जाते हैं क्या भारत में व्यंजन आमतौर पर एक व्	I
ईरान में बर्तन आमतौर पर <mask> होते हैं।	क्या ईरान में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?	आम	आम, दुर्लभ	food and drink	व्यंजन के लिए परोसे जाते हैं कि व्यंजन के लिए परोसे जाते हैं कि व	I
केन्या में बर्तन आमतौर पर <mask> होते हैं।	क्या केन्या में व्यंजन आमतौर पर एक व्यक्ति के लिए परोसे जाते ह या एकाधिक लोगों के लिए परोसे जाते हैं?	आम	आम, दुर्लभ	food and drink	केन्या में व्यंजन एक व्यक्ति के लिए परोसे जाते हैं।	T
						
अमेरिका में आमतौर पर लोग <mask> पानी पीते हैं।	अमेरिका में लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?	आम	आम, दुर्लभ	food and drink	अमेरिका में गर्म पानी पीने के लिए कुछ समय लगभग कम है। इसके कारण ल	I
चीन में आमतौर पर लोग <mask> पानी पीते हैं।	चीन में लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?	दुर्लभ	आम, दुर्लभ	food and drink	अगर आप इस प्रकार की प्रक्रिया को समझ नहीं पा रहे हैं तो आप इस प्रका	I
भारत में आमतौर पर लोग <mask> पानी पीते हैं।	भारत में लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?	आम	आम, दुर्लभ	food and drink	गर्म पानी के कारण कुछ लोगों को दिल की समस्या होती है और कुछ लोगों	I
ईरान में आमतौर पर लोग <mask> पानी पीते हैं।	ईरान में लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?	आम	आम, दुर्लभ	food and drink	गर्म पानी के कारण लोगों को दुर्लभ होना है क्योंकि गर्म पानी के का	I
केन्या में आमतौर पर लोग <mask> पानी पीते हैं।	केन्या में लोगों को गर्म पानी पीते देखना दुर्लभ या आम है?	आम	आम, दुर्लभ	food and drink	गर्म पानी पीने का कारण लोगों को गर्म करना है।	I
						
अमेरिका में यह <mask> बात है कि वयस्क अपने माता-पिता के साथ रहते हैं।	वयस्कों के लिए अमेरिका में अपने माता-पिता के साथ रहना दुर्लभ या आम है?	आम	आम, दुर्लभ	family	दुर्लभ	T
चीन में यह <mask> बात है कि वयस्क अपने माता-पिता के साथ रहते हैं।	वयस्कों के लिए चीन में अपने माता-पिता के साथ रहना दुर्लभ या आम है?	दुर्लभ	आम, दुर्लभ	family	दुर्लभ	F
भारत में यह <mask> बात है कि वयस्क अपने माता-पिता के साथ रहते हैं।	वयस्कों के लिए भारत में अपने माता-पिता के साथ रहना दुर्लभ या आम है?	दुर्लभ	आम, दुर्लभ	family	दुर्लभ	F
ईरान में यह <mask> बात है कि वयस्क अपने माता-पिता के साथ रहते हैं।	वयस्कों के लिए ईरान में अपने माता-पिता के साथ रहना दुर्लभ या आम है?	आम	आम, दुर्लभ	family	दुर्लभ	T
केन्या में यह <mask> बात है कि वयस्क अपने माता-पिता के साथ रहते हैं।	वयस्कों के लिए केन्या में अपने माता-पिता के साथ रहना दुर्लभ या आम है?	आम	आम, दुर्लभ	family	वयस्कों के लिए केन्या में अपने माता-पिता के साथ रहना आम है।	T
						
अमेरिका में सबसे लोकप्रिय खेल <mask> है।	अमेरिका में सबसे लोकप्रिय खेल कौन से हैं?	फ़ुटबॉल, बास्केटबाल, बेसबॉल	फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड	sports	टीम इंडिया के खिलाफ हैं.	I
चीन में सबसे लोकप्रिय खेल <mask> है।	चीन में सबसे लोकप्रिय खेल कौन से हैं?	टेबल टेनिस, बैडमिंटन	फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड	sports	क्रिकेट	F
भारत में सबसे लोकप्रिय खेल <mask> है।	भारत में सबसे लोकप्रिय खेल कौन से हैं?	क्रिकेट, बैडमिंटन, फुटबॉल	फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड	sports	क्रिकेट के लिए मैच के लिए मैच के लिए मैच के लिए मैच के लिए मैच के ल	T
ईरान में सबसे लोकप्रिय खेल <mask> है।	ईरान में सबसे लोकप्रिय खेल कौन से हैं?	फुटबॉल, वालीबाल	फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड	sports	क्रिकेट के लिए मैच के समय के लिए सबसे लोकप्रिय खेल कौन से हैं?	I
केन्या में सबसे लोकप्रिय खेल <mask> है।	केन्या में सबसे लोकप्रिय खेल कौन से हैं?	फुटबॉल, ट्रैक और फील्ड	फ़ुटबॉल, बास्केटबाल, बेसबॉल, टेबल टेनिस, बैडमिंटन, फुटबॉल, वालीबाल, क्रिकेट, ट्रैक और फील्ड	sports	केन्या में सबसे लोकप्रिय खेल केन्या के खेल हैं।	F
						
अमेरिका में तीस साल पहले बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन <mask> था।	तीस साल पहले अमेरिका के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कौन सा था?	कार	कार, बस, रेलगाडी, मेट्रो, साइकिल, विमान, जहाज, नाव	transportation	स्टेशन स्टेशन के सबसे लोकप्रिय साधन थे.	I
चीन में तीस साल पहले बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन <mask> था।	तीस साल पहले चीन के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कौन सा था?	साइकिल	कार, बस, रेलगाडी, मेट्रो, साइकिल, विमान, जहाज, नाव	transportation	स्टेशन स्टेशन के संस्करण के लिए सबसे लोकप्रिय साधन स्टेशन स्	I
भारत में तीस साल पहले बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन <mask> था।	तीस साल पहले भारत के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कौन सा था?	बस, रेलगाडी	कार, बस, रेलगाडी, मेट्रो, साइकिल, विमान, जहाज, नाव	transportation	स्वामी विवेकानंद के पास था।	I
ईरान में तीस साल पहले बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन <mask> था।	तीस साल पहले ईरान के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कौन सा था?	कार	कार, बस, रेलगाडी, मेट्रो, साइकिल, विमान, जहाज, नाव	transportation	स्पेन	I
केन्या में तीस साल पहले बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन <mask> था।	तीस साल पहले केन्या के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कौन सा था?	बस, कार	कार, बस, रेलगाडी, मेट्रो, साइकिल, विमान, जहाज, नाव	transportation	केन्या के बड़े शहरों में परिवहन का सबसे लोकप्रिय साधन कार था।	T
						
अमेरिका में घरेलू नौकरों का <mask> होना  है।	क्या अमेरिका में घरों में नौकर रखना दुर्लभ या आम है?	दुर्लभ	आम, दुर्लभ	servant	अमेरिका में नौकरों को घरों में रखना दुर्लभ नहीं है क्योंकि अमे	F
चीन में घरेलू नौकरों का <mask> होना  है।	क्या चीन में घरों में नौकर रखना दुर्लभ या आम है?	दुर्लभ	आम, दुर्लभ	servant	चीन में नौकरों को घरों में रखना दुर्लभ है और आम है.	F
भारत में घरेलू नौकरों का <mask> होना  है।	क्या भारत में घरों में नौकर रखना दुर्लभ या आम है?	आम	आम, दुर्लभ	servant	अगर आप अपने घर में नौकर रखना चाहते हैं तो आप अपने घर में नौकर रखना	I
ईरान में घरेलू नौकरों का <mask> होना  है।	क्या ईरान में घरों में नौकर रखना दुर्लभ या आम है?	दुर्लभ	आम, दुर्लभ	servant	आम है क्योंकि ईरान में नौकरों को किसी भी समय में घर से बाहर निकाल	I
केन्या में घरेलू नौकरों का <mask> होना  है।	क्या केन्या में घरों में नौकर रखना दुर्लभ या आम है?	दुर्लभ	आम, दुर्लभ	servant	None	I
						
अमेरिका का अधिकांश भाग <mask> क्षेत्र में है।	अमेरिका किस जलवायु क्षेत्र से संबंधित है?	समशीतोष्ण	समशीतोष्ण, उष्णकटिबंधीय, सूखा, महाद्वीपीय, ध्रुवीय	climate	पूर्वी अमेरिका के पूर्वी में स्थित जलवायु क्षेत्र से संबंधित	I
चीन का अधिकांश भाग <mask> क्षेत्र में है।	चीन किस जलवायु क्षेत्र से संबंधित है?	समशीतोष्ण	समशीतोष्ण, उष्णकटिबंधीय, सूखा, महाद्वीपीय, ध्रुवीय	climate	पूर्वी किस जलवायु क्षेत्र से संबंधित है?	I
भारत का अधिकांश भाग <mask> क्षेत्र में है।	भारत किस जलवायु क्षेत्र से संबंधित है?	उष्णकटिबंधीय	समशीतोष्ण, उष्णकटिबंधीय, सूखा, महाद्वीपीय, ध्रुवीय	climate	पूर्वी भारत के प्रमुख जलवायु क्षेत्र हैं जिनमें पूर्वी भारत क	I
