Prompt	Corresponding Questions	Ans	Candidate Ans	Context	GPT-3 Pred	GPT-3 Pred (T/F/I)
در ایالت متحده آمریکا برای اندازه گیری ارتفاع از واحد <mask> استفاده می شود.	در ایالت متحده آمریکا برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟	اینچ, فوت	اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل	measurement unit	foot	1/2
در چین برای اندازه گیری ارتفاع از واحد <mask> استفاده می شود.	در چین برای اندازه گیری ارتفاع از چه واحدی استفاده می شود؟	متر, سانتی متر	اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل	measurement unit	"chi" (Chinese foot)	F
درهند برای اندازه گیری ارتفاع از واحد <mask> استفاده می شود.	در هند برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟	اینچ, فوت, متر, سانتی متر	اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل	measurement unit	میلیمتر	1/4
در ایران برای اندازه گیری ارتفاع از واحد <mask> استفاده می شود.	در ایران برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟	متر, سانتی متر	اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل	measurement unit	N	F
در کنیا برای اندازه گیری ارتفاع از واحد <mask> استفاده می شود.	در کنیا برای اندازه گیری ارتفاع ازچه واحدی استفاده می شود؟	اینچ, فوت, متر, سانتی متر	اینچ, فوت, یارد, میلی متر, متر, سانتی متر, کیلومتر, مایل	measurement unit		
						
در ایالت متحده آمریکا برای اندازه گیری وزن از واحد <mask> استفاده می شود.	در ایالت متحده آمریکا برای اندازه گیری وزن ازچه واحدی استفاده می شود؟	پوند	اونس, پوند, میلی گرم, گرم, کیلوگرم	measurement unit	کیلوگرم	F
در چین برای اندازه گیری وزن از واحد <mask> استفاده می شود.	در چین برای اندازه گیری وزن ازچه واحدی استفاده می شود؟	کیلوگرم	اونس, پوند, میلی گرم, گرم, کیلوگرم	measurement unit	کیلوگرم	T
در هند برای اندازه گیری وزن از واحد <mask> استفاده می شود.	در هند برای اندازه گیری وزن ازچه واحدی استفاده می شود؟	کیلوگرم	اونس, پوند, میلی گرم, گرم, کیلوگرم	measurement unit	کیلوگرم	T
در ایران برای اندازه گیری وزن از واحد <mask> استفاده می شود.	در ایران برای اندازه گیری وزن ازچه واحدی استفاده می شود؟	کیلوگرم	اونس, پوند, میلی گرم, گرم, کیلوگرم	measurement unit	N	F
در کنیا برای اندازه گیری وزن از واحد <mask> استفاده می شود.	در کنیا برای اندازه گیری وزن ازچه واحدی استفاده می شود؟	کیلوگرم	اونس, پوند, میلی گرم, گرم, کیلوگرم	measurement unit		
						
در ایالت متحده آمریکا برای اندازه گیری دما از واحد <mask> استفاده می شود.	در ایالت متحده آمریکا برای اندازه گیری دما ازچه واحدی استفاده می شود؟	فارنهایت	فارنهایت, سلسیوس, رانکین	measurement unit	N	F
در چین برای اندازه گیری دما از واحد <mask> استفاده می شود.	در چین برای اندازه گیری دما ازچه واحدی استفاده می شود؟	سلسیوس	فارنهایت, سلسیوس, رانکین	measurement unit	از دما سنج	F
در هند برای اندازه گیری دما از واحد <mask> استفاده می شود.	در هند برای اندازه گیری دما ازچه واحدی استفاده می شود؟	سلسیوس	فارنهایت, سلسیوس, رانکین	measurement unit	از دما سنج	F
در ایران برای اندازه گیری دما از واحد <mask> استفاده می شود.	در ایران برای اندازه گیری دما ازچه واحدی استفاده می شود؟	سلسیوس	فارنهایت, سلسیوس, رانکین	measurement unit	از دما سنج	F
در کنیا برای اندازه گیری دما از واحد <mask> استفاده می شود.	در کنیا برای اندازه گیری دما ازچه واحدی استفاده می شود؟	سلسیوس	فارنهایت, سلسیوس, رانکین	measurement unit		
						
در فرمت تاریخ در ایالت متحده آمریکا ماه <mask> از سال می آید.	در فرمت تاریخ در ایالت متحده آمریکا ماه قبل یا بعد از سال می آید؟	قبل	قبل, بعد, زیر, بالا	measurement unit	N	F
در فرمت تاریخ در چین ماه <mask> از سال می آید.	در فرمت تاریخ در چین ماه قبل یا بعد از سال می آید؟	بعد	قبل, بعد, زیر, بالا	measurement unit	N	F
در فرمت تاریخ در هند ماه <mask> از سال می آید.	در فرمت تاریخ در هند ماه قبل یا بعد از سال می آید؟	قبل	قبل, بعد, زیر, بالا	measurement unit	N	F
در فرمت تاریخ در ایران ماه <mask> از سال می آید.	در فرمت تاریخ در ایران ماه قبل یا بعد از سال می آید؟	قبل	قبل, بعد, زیر, بالا	measurement unit	N	F
در فرمت تاریخ در کنیا ماه <mask> از سال می آید.	در فرمت تاریخ در کنیا ماه قبل یا بعد از سال می آید؟	قبل	قبل, بعد, زیر, بالا	measurement unit		
						
در فرمت تاریخ در ایالت متحده آمریکا سال <mask> از ماه می آید.	در فرمت تاریخ در ایالت متحده آمریکا سال قبل یا بعد از ماه می آید؟	بعد	قبل, بعد, زیر, بالا	measurement unit	قبل	F
در فرمت تاریخ در چین سال <mask> از ماه می آید.	در فرمت تاریخ در چین سال قبل یا بعد از ماه می آید؟	قبل	قبل, بعد, زیر, بالا	measurement unit	before	T
در فرمت تاریخ در هند سال <mask> از ماه می آید.	در فرمت تاریخ در هند سال قبل یا بعد از ماه می آید؟	بعد	قبل, بعد, زیر, بالا	measurement unit	before	F
در فرمت تاریخ در ایران سال <mask> از ماه می آید.	در فرمت تاریخ در ایران سال قبل یا بعد از ماه می آید؟	بعد	قبل, بعد, زیر, بالا	measurement unit	N	F
در فرمت تاریخ در کنیا سال <mask> از ماه می آید.	در فرمت تاریخ در کنیا سال قبل یا بعد از ماه می آید؟	بعد	قبل, بعد, زیر, بالا	measurement unit		
						
در ایالت متحده آمریکا پرداخت انعام بعد از وعده ی غذا <mask> است.	آیا در ایالت متحده آمریکا پرداخت انعام بعد از غذا رایج است؟	رایج	رایج, نادر	payment	it is common	T
در چین پرداخت انعام بعد از وعده ی غذا <mask> است.	آیا در چین پرداخت انعام بعد از غذا رایج است؟	نادر	رایج, نادر	payment	it is common	F
در هند پرداخت انعام بعد از وعده ی غذا <mask> است.	آیا در هند پرداخت انعام بعد از غذا رایج است؟	نادر	رایج, نادر	payment	it is common	F
در ایران پرداخت انعام بعد از وعده ی غذا <mask> است.	آیا در ایران پرداخت انعام بعد از غذا رایج است؟	نادر	رایج, نادر	payment	it is common	F
در کنیا پرداخت انعام بعد از وعده ی غذا <mask> است.	آیا در کنیا پرداخت انعام بعد از غذا رایج است؟	نادر	رایج, نادر	payment		
						
آمریکایی ها اغلب <mask> دوش می گیرند.	آمریکایی ها اغلب چه زمانی دوش می گیرند؟	صبح	صبح, ظهر, بعد از ظهر, عصر	shower time	N	F
چینی ها اغلب <mask> دوش می گیرند.	چینی ها اغلب چه زمانی دوش می گیرند؟	عصر	صبح, ظهر, بعد از ظهر, عصر	shower time	N	F
هندی ها اغلب <mask> دوش می گیرند.	هندی ها اغلب چه زمانی دوش می گیرند؟	صبح	صبح, ظهر, بعد از ظهر, عصر	shower time	N	F
ایرانی ها اغلب <mask> دوش می گیرند.	ایرانی ها اغلب چه زمانی دوش می گیرند؟	صبح	صبح, ظهر, بعد از ظهر, عصر	shower time	N	F
کنیای ها اغلب <mask> دوش می گیرند.	کنیای ها اغلب چه زمانی دوش می گیرند؟	صبح	صبح, ظهر, بعد از ظهر, عصر	shower time		
						
آمریکایی ها اغلب  لباس هایشان را با <mask> خشک می کنند.	آمریکایی ها اغلب چگونه  لباس های خیس را خشک می کنند؟	ماشین خشک کن	ماشین خشک کن, خورشید	drying clothes	N	F
چینی ها اغلب  لباس هایشان را با <mask> خشک می کنند.	چینی ها اغلب چگونه  لباس های خیس را خشک می کنند؟	خورشید	ماشین خشک کن, خورشید	drying clothes	N	F
هندی ها اغلب  لباس هایشان را با <mask> خشک می کنند.	هندی ها اغلب چگونه  لباس های خیس را خشک می کنند؟	خورشید	ماشین خشک کن, خورشید	drying clothes	N	F
ایرانی ها اغلب  لباس هایشان را با <mask> خشک می کنند.	ایرانی ها اغلب چگونه  لباس های خیس را خشک می کنند؟	خورشید	ماشین خشک کن, خورشید	drying clothes	N	F
کنیای ها اغلب  لباس هایشان را با <mask> خشک می کنند.	کنیای ها اغلب چگونه  لباس های خیس را خشک می کنند؟	خورشید	ماشین خشک کن, خورشید	drying clothes		
						
در ایالت متحده آمریکا خشک کردن سطح زمین با طی <mask> است.	در ایالت متحده آمریکا خشک کردن سطح زمین با طی رایج یا نادر است؟	رایج	رایج, نادر	broom usage	The answer is yes	I
در چین خشک کردن سطح زمین با طی <mask> است.	در چین خشک کردن سطح زمین با طی رایج یا نادر است؟	رایج	رایج, نادر	broom usage	wind	F
در هند خشک کردن سطح زمین با طی <mask> است.	در هند خشک کردن سطح زمین با طی رایج یا نادر است؟	رایج	رایج, نادر	broom usage	رایج	T
در ایران خشک کردن سطح زمین با طی <mask> است.	در ایران خشک کردن سطح زمین با طی رایج یا نادر است؟	نادر	رایج, نادر	broom usage	N	F
در کنیا خشک کردن سطح زمین با طی <mask> است.	در کنیا خشک کردن سطح زمین با طی رایج یا نادر است؟	رایج	رایج, نادر	broom usage		
						
در ایالت متحده آمریکا غذای اصلی مردم <mask> است.	در ایالت متحده آمریکا غذای اصلی مردم چیست؟	نان	نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت	food and drink	کوکوبه	F
در چین غذای اصلی مردم <mask> است.	در چین غذای اصلی مردم چیست؟	برنج, نودل	نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت	food and drink	N	F
در هند غذای اصلی مردم <mask> است.	در هند غذای اصلی مردم چیست؟	برنج, نان	نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت	food and drink	کوکوسیان	F
در ایران غذای اصلی مردم <mask> است.	در ایران غذای اصلی مردم چیست؟	برنج, نان	نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت	food and drink	N	F
در کنیا غذای اصلی مردم <mask> است.	در کنیا غذای اصلی مردم چیست؟	سبزی, ذرت	نان, برنج, نودل, سیب زمینی, گوشت, میوه, سبزی, ذرت	food and drink		
						
آمریکایی ها اغلب غذا را با <mask> می خورند.	آمریکایی ها اغلب غذا را با چه وسیله ای می خورند؟	چاقو, چنگال	چاقو, چنگال, قاشق, دست, چاپستیک	food and drink	N	F
چینی ها اغلب غذا را با <mask> می خورند.	چینی ها اغلب غذا را با چه وسیله ای می خورند؟	چاپستیک	چاقو, چنگال, قاشق, دست, چاپستیک	food and drink	N	F
هندی ها اغلب غذا را با <mask> می خورند.	هندی ها اغلب غذا را با چه وسیله ای می خورند؟	قاشق, دست	چاقو, چنگال, قاشق, دست, چاپستیک	food and drink	N	F
ایرانی ها اغلب غذا را با <mask> می خورند.	ایرانی ها اغلب غذا را با چه وسیله ای می خورند؟	قاشق, چنگال	چاقو, چنگال, قاشق, دست, چاپستیک	food and drink	N	F
کنیای ها اغلب غذا را با <mask> می خورند.	کنیای ها اغلب غذا را با چه وسیله ای می خورند؟	قاشق, چنگال	چاقو, چنگال, قاشق, دست, چاپستیک	food and drink		
						
در ایالت متحده آمریکا پرس غذاخوری معمولا <mask> است.	در ایالت متحده آمریکا پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟	نادر	رایج, نادر	food and drink	N	F
در چین پرس غذاخوری معمولا <mask> است.	در چین پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟	رایج	رایج, نادر	food and drink	N	F
در هند پرس غذاخوری معمولا <mask> است.	در هند پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟	رایج	رایج, نادر	food and drink	N	F
در ایران پرس غذاخوری معمولا <mask> است.	در ایران پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟	نادر	رایج, نادر	food and drink	N	F
در کنیا پرس غذاخوری معمولا <mask> است.	در کنیا پرس غذاخوری معمولا برای یک نفر یا چند نفر آورده می شود؟	نادر	رایج, نادر	food and drink		
						
در ایالت متحده آمریکا مردم معمولا آب <mask> می نوشند.	در ایالت متحده آمریکا نوشیدن آب داغ رایج یا نادر است؟	نادر	رایج, نادر	food and drink	N	F
در چین مردم معمولا آب <mask> می نوشند.	در چین نوشیدن آب داغ رایج یا نادر است؟	رایج	رایج, نادر	food and drink	N	F
در هند مردم معمولا آب <mask> می نوشند.	در هند نوشیدن آب داغ رایج یا نادر است؟	نادر	رایج, نادر	food and drink	N	F
در ایران مردم معمولا آب <mask> می نوشند.	در ایران نوشیدن آب داغ رایج یا نادر است؟	نادر	رایج, نادر	food and drink	N	F
در کنیا مردم معمولا آب <mask> می نوشند.	در کنیا نوشیدن آب داغ رایج یا نادر است؟	نادر	رایج, نادر	food and drink		
						
در ایالت متحده آمریکا زندگی کردن بزرگسالان با والدینشان <mask> است.	در ایالت متحده آمریکا زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟	نادر	رایج, نادر	family	not common	T
در چین زندگی کردن بزرگسالان با والدینشان <mask> است.	در چین زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟	رایج	رایج, نادر	family	رایج	T
در هند زندگی کردن بزرگسالان با والدینشان <mask> است.	در هند زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟	رایج	رایج, نادر	family	commmon	T
در ایران زندگی کردن بزرگسالان با والدینشان <mask> است.	در ایران زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟	نادر	رایج, نادر	family	commmon	F
در کنیا زندگی کردن بزرگسالان با والدینشان <mask> است.	در کنیا زندگی کردن بزرگسالان با والدینشان رایج یا نادر است؟	نادر	رایج, نادر	family		
						
محبوب  ترین ورزش در ایالت متحده آمریکا <mask> است.	محبوب  ترین ورزش در ایالت متحده آمریکا چیست؟	فوتبال آمریکایی, بسکتبال, بیس بال	فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی	sports	N	F
محبوب  ترین ورزش در چین <mask> است.	محبوب  ترین ورزش در چین چیست؟	تنیس روی میز, بدمینتون	فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی	sports	فوتبال	F
محبوب  ترین ورزش در هند <mask> است.	محبوب  ترین ورزش در هند چیست؟	کریکت, بدمینتون, فوتبال	فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی	sports	پیاده روی	F
محبوب  ترین ورزش در ایران <mask> است.	محبوب  ترین ورزش در ایران چیست؟	فوتبال, والیبال	فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی	sports	N	F
محبوب  ترین ورزش در کنیا <mask> است.	محبوب  ترین ورزش در کنیا چیست؟	فوتبال, دو و میدانی	فوتبال آمریکایی, بسکتبال, بیس بال, تنیس روی میز, بدمینتون, فوتبال, والیبال, کریکت, دو و میدانی	sports		
						
در ایالت متحده آمریکا متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته <mask> است.	در ایالت متحده آمریکا متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟	ماشین	ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو	transportation	N	F
در چین متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته <mask> است.	در چین متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟	دوچرخه	ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو	transportation	bicycle	T
در هند متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته <mask> است.	در هند متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟	اتوبوس, قطار	ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو	transportation	N	F
در ایران متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته <mask> است.	در ایران متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟	ماشین	ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو	transportation	N	F
در کنیا متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته <mask> است.	در کنیا متداول ترین وسیله نقلیه در شهر های بزرگ در سی سال گذشته چه بوده است؟	اتوبوس, ماشین	ماشین, اتوبوس, قطار, دوچرخه, هواپیما, کشتی, قایق, مترو	transportation		
						
در ایالت متحده آمریکا خدمتکار بودن یه خانواده <mask> است.	در ایالت متحده آمریکا خدمتکار بودن یه خانواده رایج یا نادر است؟	نادر	رایج, نادر	servant	N	F
در چین خدمتکار بودن یه خانواده <mask> است.	در چین خدمتکار بودن یه خانواده رایج یا نادر است؟	نادر	رایج, نادر	servant	N	F
در هند خدمتکار بودن یه خانواده <mask> است.	در هند خدمتکار بودن یه خانواده رایج یا نادر است؟	رایج	رایج, نادر	servant	N	F
در ایران خدمتکار بودن یه خانواده <mask> است.	در ایران خدمتکار بودن یه خانواده رایج یا نادر است؟	نادر	رایج, نادر	servant	N	F
در کنیا خدمتکار بودن یه خانواده <mask> است.	در کنیا خدمتکار بودن یه خانواده رایج یا نادر است؟	نادر	رایج, نادر	servant		
						
بیشتر قسمت های ایالت متحده آمریکا در ناحیه جغرافیایی <mask> است.	ایالت متحده آمریکا در چه ناحیه جغرافیایی است؟	معتدل	استوایی, معتدل, خشک, اقلیمی, قطبی	climate	N	F
بیشتر قسمت های چین در ناحیه جغرافیایی <mask> است.	چین در چه ناحیه جغرافیایی است؟	معتدل	استوایی, معتدل, خشک, اقلیمی, قطبی	climate	N	F
بیشتر قسمت های هند در ناحیه جغرافیایی <mask> است.	هند در چه ناحیه جغرافیایی است؟	استوایی	استوایی, معتدل, خشک, اقلیمی, قطبی	climate	N	F
بیشتر قسمت های ایران در ناحیه جغرافیایی <mask> است.	ایران در چه ناحیه جغرافیایی است؟	معتدل	استوایی, معتدل, خشک, اقلیمی, قطبی	climate	N	F
بیشتر قسمت های کنیا در ناحیه جغرافیایی <mask> است.	کنیا در چه ناحیه جغرافیایی است؟	استوایی	استوایی, معتدل, خشک, اقلیمی, قطبی	climate		
						
افزایش قیمت بورس در ایالت متحده آمریکا با رنگ <mask> مشخص می شود.	افزایش قیمت بورس در ایالت متحده آمریکا با چه رنگی مشخص می شود؟	سبز	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	stock price	N	F
افزایش قیمت بورس در چین با رنگ <mask> مشخص می شود.	افزایش قیمت بورس در چین با چه رنگی مشخص می شود؟	قرمز	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	stock price	N	F
افزایش قیمت بورس در هند با رنگ <mask> مشخص می شود.	افزایش قیمت بورس در هند با چه رنگی مشخص می شود؟	سبز	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	stock price	N	F
افزایش قیمت بورس در ایران با رنگ <mask> مشخص می شود.	افزایش قیمت بورس در ایران با چه رنگی مشخص می شود؟	سبز	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	stock price	N	F
افزایش قیمت بورس در کنیا با رنگ <mask> مشخص می شود.	افزایش قیمت بورس در کنیا با چه رنگی مشخص می شود؟	سبز	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	stock price		
						
کاهش قیمت بورس در ایالت متحده آمریکا با رنگ <mask> مشخص می شود.	کاهش قیمت بورس در ایالت متحده آمریکا با چه رنگی مشخص می شود؟	قرمز	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	stock price	N	F
کاهش قیمت بورس در چین با رنگ <mask> مشخص می شود.	کاهش قیمت بورس در چین با چه رنگی مشخص می شود؟	سبز	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	stock price	N	F
کاهش قیمت بورس در هند با رنگ <mask> مشخص می شود.	کاهش قیمت بورس در هند با چه رنگی مشخص می شود؟	قرمز	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	stock price	N	F
کاهش قیمت بورس در ایران با رنگ <mask> مشخص می شود.	کاهش قیمت بورس در ایران با چه رنگی مشخص می شود؟	قرمز	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	stock price	N	F
کاهش قیمت بورس در کنیا با رنگ <mask> مشخص می شود.	کاهش قیمت بورس در کنیا با چه رنگی مشخص می شود؟	قرمز	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	stock price		
						
در مراسم های عروسی آمریکایی ها رنگ لباس عروس معمولا <mask> است.	در مراسم های عروسی آمریکایی ها رنگ لباس عروس معمولا چه رنگی است؟	سفید	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	wedding	سفید	T
در مراسم های عروسی چینی ها رنگ لباس عروس معمولا <mask> است.	در مراسم های عروسی چینی ها رنگ لباس عروس معمولا چه رنگی است؟	قرمز	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	wedding	N	F
در مراسم های عروسی هندی ها رنگ لباس عروس معمولا <mask> است.	در مراسم های عروسی هندی ها رنگ لباس عروس معمولا چه رنگی است؟	قرمز	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	wedding	سفید	F
در مراسم های عروسی ایرانی ها رنگ لباس عروس معمولا <mask> است.	در مراسم های عروسی ایرانی ها رنگ لباس عروس معمولا چه رنگی است؟	سفید	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	wedding	سفید	T
در مراسم های عروسی کنیای ها رنگ لباس عروس معمولا <mask> است.	در مراسم های عروسی کنیای ها رنگ لباس عروس معمولا چه رنگی است؟	سفید	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	wedding		
						
در مراسم های وفات سنتی آمریکایی ها رنگ لباس افراد معمولا <mask> است.	در مراسم های وفات آمریکایی ها رنگ لباس ها معمولا چه رنگی است؟	سیاه	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	funeral	black	T
در مراسم های وفات سنتی چینی ها رنگ لباس افراد معمولا <mask> است.	در مراسم های وفات چینی ها رنگ لباس ها معمولا چه رنگی است؟	سفید	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	funeral	white	T
در مراسم های وفات سنتی هندی ها رنگ لباس افراد معمولا <mask> است.	در مراسم های وفات هندی ها رنگ لباس ها معمولا چه رنگی است؟	سفید	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	funeral	white	T
در مراسم های وفات سنتی ایرانی ها رنگ لباس افراد معمولا <mask> است.	در مراسم های وفات ایرانی ها رنگ لباس ها معمولا چه رنگی است؟	سیاه	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	funeral	black	T
در مراسم های وفات سنتی کنیای ها رنگ لباس افراد معمولا <mask> است.	در مراسم های وفات کنیای ها رنگ لباس ها معمولا چه رنگی است؟	سیاه	سبز, قرمز, زرد, آبی, نارنجی, بنفش, سیاه, سفید	funeral		
						
در ایالت متحده آمریکا مراسم های عروسی معمولا <mask> از یک روز طول می کشد.	آیا در ایالت متحده آمریکا مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟	کمتر	کمتر, بیشتر	wedding	more 	F
در چین مراسم های عروسی معمولا <mask> از یک روز طول می کشد.	آیا در چین مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟	کمتر	کمتر, بیشتر	wedding	more 	F
در هند مراسم های عروسی معمولا <mask> از یک روز طول می کشد.	آیا در هند مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟	بیشتر	کمتر, بیشتر	wedding	more 	T
در ایران مراسم های عروسی معمولا <mask> از یک روز طول می کشد.	آیا در ایران مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟	کمتر	کمتر, بیشتر	wedding	more 	F
در کنیا مراسم های عروسی معمولا <mask> از یک روز طول می کشد.	آیا در کنیا مراسم های عروسی معمولا بیشتر از یک روز طول می کشد؟	کمتر	کمتر, بیشتر	wedding		
